-1, 5, 5, -24974, -24974, 1, -24974, 24974, 3, -3, -24974, 24974, 99894
1, -16649, -5, -16649, 2, -4, 16648, 16649, 16645, -6, 16643, 16649, 16664
-4, 19979, 9, 19979, -2, -2, 19979, -19979, -9, -1, 6, -6, 19993
8323, -8325, 24974, -8325, -8326, -16650, 24974, 24974, -24974, -24974, -16651, 24974, 83251
-1, -24973, -24974, -24974, -24970, 2, 24972, -24974, 24974, 24974, -24974, -24974, 149840
16649, 13319, 16649, 13318, 13321, 16648, -3328, -1, -3331, -3328, -3331, -3330, 0
9989, 19978, 1, 9991, 19979, -9988, -19979, -19979, 19978, 0, 19979, 19979, 29967
1, 24974, -24974, -24974, -5, 9, 24974, 13, 24974, -11, -24974, 3, 74924
-2, -5, -1, 24974, 5, 24974, 24974, 4, -24974, -1, 5, 5, 24977
-2, -24974, -8, 5, 8, -1, 24974, -4, 7, -24974, -4, -24974, 74932
-2, -33299, -33299, 33299, -33297, -1, 33299, -33298, -33298, 33299, -33299, -33299, 199793
-3, 2, 16649, -3, 2, -1, 16646, 16648, 16647, 16649, -16648, -16648, 16654
5, 24974, -6, -12, 14, -24974, 24974, 24974, -13, -7, -14, -14, 25021
-1996, 19979, -19979, 19978, -15982, 7992, -11988, -9990, -13986, -19979, -5994, 3996, 79915
1, 29, 24, -29, 19979, -13, 19979, 28, -28, 2, 29, 29, 40
2, -19979, -2, 19979, -7, -2, -6, 7, -19979, -7, -1, -19979, 59954
-24974, 4, 24974, 4, 5, -24974, 24974, 24974, 24974, -1, 2, -2, 49945
24974, -12487, 12490, 12488, -24973, 12484, 12490, -24974, 24973, -1, -24974, -12486, 74921
-24974, 24974, 24973, -24972, 1, 24974, -24974, -24973, 2, 4, -24973, -24970, 124862
-99899, -99899, 99899, -99899, -99899, -99899, -99899, 99899, -99899, -99899, 99899, 99899, 799191
7, -24974, -24974, -6, 10, -1, 24974, -4, -5, -2, -24974, 24974, 74929
-12485, 12486, -12487, -24974, -12488, 24974, 12488, -12486, -24974, 24974, -12487, 12487, 87408
-2, 24974, -24974, -4, 24973, 1, 24974, -24974, 24972, -24974, 24974, 24970, 49954
-6, 19979, -3, 5, 10, 3, 6, -5, -19979, -1, -19979, 19979, 39962
-12488, -12488, 24974, -24974, -12487, 24974, -12487, -12486, -12488, 24974, -24974, -24974, 124872
19, 13, 16649, 13, 18, 16649, 5, 7, -4, 2, 1, -16, 0
-2, -4, 19978, -19971, -19979, 19975, -19979, -19979, 19978, 1, -19977, -19977, 99889
-8562, 11417, 19979, 14270, 17125, 17125, -5709, -2854, 19979, 2853, -19979, -19979, 37104
-16650, -33299, -16650, 33299, 33299, -33299, 33299, 33299, 16651, 16648, -33298, 33299, 99897
1, 19979, 9, -9, -19979, -2, -4, 9, 4, -6, 8, -8, 19998
