24974, -16649, 24974, 8322, 8328, 8324, 8328, 24974, 24973, 24974, 16650, -8325, 0
-24974, 24974, 12490, 12488, -12488, -12486, 24974, -24974, 12487, 12488, -12487, -24974, 87409
-24974, 24974, -24974, 12489, 24974, -12487, -12488, -12487, 24974, 24974, -12485, -12486, 87407
4, -4, 24974, 2, -24974, -5, -24974, -2, -5, -1, 24974, -24974, 74933
12486, -24974, -12488, -24974, -1, -12486, -12487, 24974, 24974, 12485, 24974, 24974, 62438
-16648, -16650, 8327, 16649, 24974, -8324, 8325, 24973, 16647, -8326, -16648, -24973, 66595
49949, -49949, 49949, -49949, 1, 1, 49949, -1, -1, -49949, -49949, -49949, 249745
24974, -8, 24974, -6, 5, -7, -7, 2, 24974, 4, -8, 3, 26
4, 7, -10, 10, 3, -9, -24974, 24974, -2, 8, -8, -24974, 49965
7, 24974, 24974, 24974, -1, 5, 6, -6, -4, 2, 4, 24974, 3
-6, 7, -8, -24974, -24974, 2, -8, 24974, 3, 5, -4, 8, 49964
-24974, 2, 5, -5, 4, -5, 24974, 24974, 1, -24974, -5, 2, 49957
-5, -7, -6, 24974, -24974, 8, 4, 24974, -24974, -3, 2, -7, 49966
44, -24974, -24974, -24974, 24974, 89, -89, -44, 24974, 86, 88, -41, 74966
33299, -2, 33299, 33299, 33298, -33299, 33299, -33299, -33297, 33297, 1, 33299, 66598
-33299, -33299, 16650, 33299, 16651, 33299, -16650, 33299, -16650, 16648, 33299, -16651, 83250
16651, -16650, 33299, 16651, -33299, 16648, -33299, 16650, 1, -33299, 33298, 33299, 83248
-33299, -16647, -16653, -16648, -33299, 16646, -33299, 16653, -16651, 16652, 33299, -33298, 166495
16649, -33299, -33299, -16651, 16650, -16650, 33299, -16649, -33299, -16651, 33299, -16648, 149847
-5, -1, -24974, -24974, -2, 5, 4, -5, 24974, 1, -24974, -24974, 99903
-11100, 11101, -22199, 33299, -33298, 33299, -33298, -33298, 33299, -22198, -22200, 11099, 144292
-10, -10, 6, 24974, 1, -10, -15, 24974, 14, -15, -7, -9, 60
33299, -16650, -16650, 33299, 16651, -16648, -16651, 33299, -33299, -16650, -33299, 33299, 116548
16650, 33299, -16649, -33299, 16649, -16650, -33299, -33299, 16648, 33299, -33297, -16650, 149845
5, -8, 2, 24974, -24974, -6, 4, -24974, -24974, 24974, 3, -7, 74933
-33298, -33299, -1, -16651, 16648, -16650, 16650, -33299, 33299, 33299, -33298, -33298, 166495
-16648, -33299, 33298, 33299, 16650, -33299, -33299, 16650, -33299, -33299, 1, 33297, 149844
8326, 24974, -8327, -16648, -24974, 8325, -8323, 24974, 8324, 16650, -24974, 16651, 58272
24974, 2, -24974, 24974, -24974, 24974, -24970, 24973, -24974, 1, 24972, 24974, 74918
8, -3, -6, -9, -8, 24974, -24974, 5, 9, -24974, -4, -2, 49969
-33299, -16649, 16650, -33298, -16650, 16649, -16650, -33299, 33299, 33299, -33299, 33299, 149845
6, -3, 2, -7, 24974, -12, -8, 11, -4, 24974, 24974, 24974, 21
-24974, 24974, 9, 8, -11, 24974, -1, 18, 24974, 24974, 18, 24974, 24967
8322, 16649, 16649, 8328, 8327, 8325, 8327, 8324, -8323, 8324, -5, -8321, 0
