-4988, -4989, -9974, 9974, 4987, -4987, 9974, 4989, 9974, 4986, -4985, 4988, 4988, -9974, 29923
-1, -2, 13299, 2, -3, -3, 13299, -13299, 3, -13299, -2, 13299, 2, 13299, 26605
-4984, 9974, -4991, 4986, 9974, 4990, 9974, 4991, 4990, 9974, 4983, -9974, -4988, -4987, 19950
-5, -9974, 9974, 6, -10, 8, 9974, 3, 4, 10, -9974, 9974, 9974, -9, 19959
-6, -9974, -6, -9974, -5, 6, 3, -6, -4, 9974, -9974, -9974, -1, 2, 39917
-9974, 5, -2, -9974, -9974, -1, -9974, 4, -5, -2, 5, -9974, 5, 4, 49874
15, -15, 9, -14, 3, 9974, 9974, 9, 15, -15, 9974, -5, 9974, -15, 46
7, -6, 1, -9974, -7, -9974, 6, -9974, -7, -9974, -9974, -4, 2, 4, 49886
-4, -9974, 1, 2, -9974, 2, -5, 9974, 9974, -5, 5, -4, 9974, -5, 19965
13, 2, 14, -9974, 5, -9974, -15, 4, -9974, 17, -9974, 12, -9974, -9974, 59841
-13299, -13299, -13297, 13298, 13299, -13299, 13297, -2, 13296, 13299, 13299, -13299, 1, -13299, 66495
-3327, 3326, 3323, 6650, 3325, 9974, 6650, -6651, -9974, 6651, 6651, 9974, 3324, -9974, 19952
9974, 2, -4, 12, -3, 13, 9974, -9974, 14, -9, 12, 13, -13, -10, 9998
4989, -4987, -4986, -4988, 4985, 9974, -9974, -4986, 9974, -4988, 9974, 4984, -4989, -4989, 34914
-9974, -7, 7, 7, -9974, 6, -9974, 1, -4, 9974, 4, -2, 6, 9974, 29927
13299, 6651, -6646, -13299, 13299, 6650, -6651, 13299, 6650, 6649, -6648, 6647, 13299, -13299, 33246
-7, 2, -9974, 3, 9974, -6, -8, -4, -8, -9974, 7, -9974, -9974, 5, 39919
-4, 9974, 9972, -9974, -9973, -1, 9974, -9973, 2, -9974, 9970, -9974, 9972, 9973, 39899
9974, -9974, 5, 7, -1, -9974, 9974, -9974, 7, -4, -2, -5, 6, -7, 29933
-4989, -9974, -4985, -4989, 4989, -9974, -9974, 9974, 4987, 4988, -4985, 4986, -4987, 9974, 44883
31, 32, -9974, 32, -31, -9974, -22, -9974, -9974, -32, 9974, -1, 9974, 9, 39949
9973, -1, 9974, 9973, -9973, 9973, -9974, 9974, -9974, -9972, 9973, -2, -9971, 9971, 39893
-13299, 13299, 6652, -13299, -6650, 13299, -6651, -6647, -6649, 6652, -13299, 13299, -6648, -6652, 66495
4988, 4988, -4988, -9974, -9974, -4984, -4987, 4987, 4988, 4984, 9974, -9974, -4983, 9974, 39893
-4, -5, -6, 9974, -7, 9974, 3, 6, 9974, -6, 9974, 4, -7, -2, 28
-4, -9974, 4, 9974, -9974, -1, 7, 9974, -3, -5, -5, 6, -9974, -7, 29939
4986, -4989, 9974, 4985, 4989, -4986, -9974, -9974, -4984, -4987, -9974, -4989, 9974, -9974, 54859
-9974, -4986, -4989, -4989, 9974, -4988, 4989, -4987, -9974, -9974, 4987, -4985, 9974, 4988, 49872
-9974, 4987, 9974, 9974, -4985, -4989, 9974, 4987, -4980, 4981, 4986, -4983, 4982, 4989, 19943
13299, 13299, 13299, -13299, -13299, 6650, 13299, 13299, 6650, 6650, 13299, -6650, -6649, -6649, 33247
4990, 4985, -4986, 4984, -9974, -9974, 4987, -4990, -9974, 4989, 4988, -4987, -4990, 9974, 39901
9974, 6, -3, -4, 4, -9974, -5, -1, 6, 6, -6, 6, 9974, -2, 9988
3, -3, -9974, -7, -7, 7, 9974, -9974, 9974, -5, -7, -1, 9974, -9974, 29944
9974, -7, 1, -9974, 9974, -9974, 4, -7, -9974, -6, 2, 7, -6, -4, 29944
2, -5, -6, 4, 1, -9974, -9974, 9974, 9974, -9974, -9974, 5, -3, 9974, 39903
-19949, 19949, -1, -19949, -19949, -19949, -1, 1, -19949, 19949, -19949, 19949, 1, 19949, 119694
-4989, -4988, 9974, 9974, 9974, 4984, 9974, 4987, 4989, 0, 4989, 9974, 4985, 9974, 4
-9974, -9974, 1, 9971, -9973, 2, 9974, -9974, 9972, -9970, -9974, -9974, -9974, 9974, 69813
-9974, -3327, 3326, 9974, 9974, -9974, 6651, -6650, -3324, 9974, -6651, 6648, 6651, 3323, 29926
-9974, -9974, -3, 3, 3, -1, -3, 3, -9974, -3, 1, 3, 9974, 1, 29928
2, -4988, -4985, -9972, 9974, 9974, 4987, -4989, 9972, 9974, -9974, 9974, -9974, -4986, 39894
3, -9974, -6, 3, -6, 9974, -9974, -5, 1, -6, -2, -6, -9974, -5, 29951
9974, -5, 7, 9974, 9974, -7, 4, -8, -6, 9974, 6, 3, 2, -9974, 9990
7, 5, 7, 6, 9974, 9974, -5, -9, -9974, -3, 1, -9974, 9974, -9974, 29929
14, 14, -12, 9974, -13, -9974, 9974, -3, 2, -1, 13, -9974, 14, -14, 19976
-4985, -9974, -9974, 9974, -4989, -4989, 4984, -9974, -4986, -9974, 4986, -4988, 4987, 4990, 54861
-13299, -6650, -13299, 6649, 6651, -6651, -6648, 6651, 6651, -13299, 13299, 13299, 13299, -13299, 59846
4, -6, -6, -9974, -6, -1, 9974, 5, 6, -9974, -9974, 3, -9974, -2, 39910
-4, -5, 1, -2, -5, 9974, 9974, -5, 5, 9974, 5, 9974, 3, -3, 18
4987, -2493, 9974, -2495, 7480, 4986, 7481, -9974, -9974, -9973, -7479, 2494, 9974, 7480, 32414
-6, 1, 9974, -6, 5, 3, 4, 4, 9974, 9974, -4, 9974, -2, -9974, 9985
7, -2, 4, 7, 5, -8, 6, -9974, 4, 8, 1, 9974, -8, -9974, 19957
13, -9974, 6, -9974, -13, 13, -9974, 1, -9974, -6, 9974, -9974, 8, -13, 49888
-9974, -1, -6, 4, 9974, -5, 5, 6, 5, -6, 4, -9974, -2, 9974, 19961
13299, -1, 3, 2, 4, 13299, 4, 2, 13299, -13299, -13299, 3, 13299, -13299, 39893
-9974, -4987, 4990, 9974, -9974, 4987, -4985, 4984, -9974, -4989, -9974, -4990, 4989, 9974, 49873
