6650, -13299, 13299, 6651, 6651, 6648, -6650, -6651, 13299, 6650, -13299, 13299, -6650, -13299, 46549
9972, 4986, -9973, -9973, 4988, 9974, 9972, -9972, -2, 9973, 1, -9974, -9973, 4987, 39893
-11, 9, -7979, -7979, -10, -10, 12, -7979, 11, 3, -7979, -10, -2, 4, 31945
9974, 6, -7, -9974, -4, 6, -8, -3, -9974, -7, -9974, -9974, -9, -5, 39927
9974, 9974, -9974, 2, -5, -9974, -4, -5, 6, -9, 9, -3, -7, -9, 19980
2, -12, 6, 12, -5, 11, -12, -10, -16, -9974, -9974, 12, 16, 9974, 19986
4987, -9974, 9974, 4988, -7479, 4986, -9974, 4988, 9974, -7482, -2495, 2492, -7482, 9974, 34912
6650, 5320, -2658, 1329, -5320, 6649, 7979, -7979, 6649, -7979, 2661, -7979, -5321, -1330, 30587
9974, -9974, -2492, -7480, -4982, -4983, -4992, 9974, -4984, 2498, -9974, 4992, -9974, 4991, 49861
-7, -4, -1, -3, 9974, -9974, 9, -9974, -9974, -9974, 9974, 7, -9974, 6, 49875
22, -12, -7979, 18, 12, -14, -6, 5, -9, 7979, 7979, 7979, 10, 13, 7996
7979, -2664, -2661, -2660, 2665, -2663, 2659, -2664, -4, -2662, -5323, 7979, -2666, 5323, 18643
3325, 3323, 3326, 6651, 6651, -3325, -9974, -9974, -9974, 6650, 3322, -6651, 9974, 6651, 29925
7979, 11, 7979, 7979, -9, -2, -4, -10, 4, -10, -3, -12, -11, 12, 47
-13299, 6652, 6648, -13299, 6650, -13299, 13299, 13299, -6649, -13299, 13299, -6651, -13299, -6649, 73145
-1, -13, 9974, 16, 16, 16, -9974, -9974, -12, -15, -2, -14, 4, -9974, 29962
-1994, 7979, 7979, 7978, 3987, -7974, 5981, -4, -3992, 7975, 7979, 1993, -5982, 7979, 11967
-4987, -9974, -9974, 9974, -4987, 4986, 4988, -4987, -4988, 4988, -9974, -4987, 9974, 4988, 44884
9974, -4, 8, -10, 16, -12, -11, -8, 6, -9974, -5, 6, -9974, -9974, 29955
9974, -1, 9974, -6, 9974, -7, -5, -9974, -6, 7, 9974, -4, 9974, 2, 9995
-7, 2, -6, 7, 5, -8, 8, 6, -9974, 3, -6, 4, -8, -8, 10007
6651, -6648, 13299, -13299, 6649, 6651, -6651, 13299, 13299, -13299, -13299, -6651, -6649, -13299, 66497
-9972, -9970, -5, 9973, -9973, 2, -9974, 9973, -9971, 9974, -9972, -1, -9974, -9974, 69812
-9974, 4, -9974, 5, 8, 8, 4, 7, 5, -2, -7, -1, -9974, -7, 29930
-4989, -2496, -4989, -4989, -7480, 9974, 7479, -4988, 9974, 9974, 4985, 4986, 2493, -9974, 29931
2, -8, 9974, 9974, -9974, -9974, -5, 3, 6, 4, 9974, -9974, -7, -3, 29935
